,Name of Startup,Link
71,eMoboMo Soft Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16eefe4b020b2f88a8a4c.html
72,NV Media,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16d53e4b020b2f88a892a.html
73,Sarglobal,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16ca9e4b020b2f88a88b5.html
74,Bloomlync Technology Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16c64e4b020b2f88a8873.html
75,Ayush Entrprises,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f169c0e4b020b2f88a86ce.html
76,ETHOS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f167f1e4b020b2f88a85ad.html
77,SpatioWorld Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16143e4b020b2f88a81be.html
78,Campus Share,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16020e4b020b2f88a8120.html
79,Unive Media Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15f2ee4b020b2f88a8072.html
80,SYNCURE PHARMACEUTICALS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15f17e4b020b2f88a8060.html
81,HD LABS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f179e7e4b020b2f88a8f2a.html
82,Bhumika Rathore,https://www.startupindia.gov.in/content/sih/en/profile.Startup.60636cade4b03f92cbd17ef4.html
83,Naukridhanda,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1796be4b020b2f88a8eeb.html
84,Manjeet Bargoti,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5b026d10e4b0a9285b5b096e.html
85,Callmyastro,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f177fbe4b020b2f88a8e51.html
86,MEENA KHAN,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16a8fe4b020b2f88a875d.html
87,C4Cred,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17551e4b020b2f88a8d52.html
88,J K C Enterprises,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17550e4b020b2f88a8d4f.html
89,PROJECT X,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17542e4b020b2f88a8d43.html
90,Shield Currency,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17476e4b020b2f88a8cfb.html
91,Ecusbe India 3R Waste Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1730de4b020b2f88a8c3b.html
92,SUNSHINE ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f172b5e4b020b2f88a8c0c.html
93,YELLOW SPHERE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17214e4b020b2f88a8bc9.html
94,POLLUXENERGYSOLUTIONS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17146e4b020b2f88a8b5d.html
95,Sephora Info Solutions Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17142e4b020b2f88a8b59.html
96,Sarja Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17107e4b020b2f88a8b47.html
97,AFFLUX SYSTEMS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17007e4b020b2f88a8aeb.html
98,eMoboMo Soft Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16eefe4b020b2f88a8a4c.html
99,Sudarshan Kumar Raut,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1b368e4b020b2f88aa617.html
100,OffSpace Inc,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1902ae4b020b2f88a9add.html
101,Fishtank,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f18f5be4b020b2f88a9a59.html
102,GREEN GLOBE INTERNATIONAL,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1858ae4b020b2f88a95d4.html
103,A K Dianthus,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f18486e4b020b2f88a9547.html
104,RSN LEISURE TECHNO LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f181ffe4b020b2f88a93df.html
105,WEDOCLEVERONE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f181eee4b020b2f88a93d4.html
106,Ravi Ranjan Chaubey,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5d821b93e4b0fad8ed6d260d.html
107,CARTOS INDIA,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1801ee4b020b2f88a928c.html
108,NV Media,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16d53e4b020b2f88a892a.html
109,Sarglobal,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16ca9e4b020b2f88a88b5.html
110,Bloomlync Technology Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16c64e4b020b2f88a8873.html
111,Ayush Entrprises,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f169c0e4b020b2f88a86ce.html
112,ETHOS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f167f1e4b020b2f88a85ad.html
113,SpatioWorld Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16143e4b020b2f88a81be.html
114,Campus Share,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16020e4b020b2f88a8120.html
115,Unive Media Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15f2ee4b020b2f88a8072.html
116,SYNCURE PHARMACEUTICALS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15f17e4b020b2f88a8060.html
117,HD LABS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f179e7e4b020b2f88a8f2a.html
118,Bhumika Rathore,https://www.startupindia.gov.in/content/sih/en/profile.Startup.60636cade4b03f92cbd17ef4.html
119,Naukridhanda,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1796be4b020b2f88a8eeb.html
120,Manjeet Bargoti,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5b026d10e4b0a9285b5b096e.html
121,Callmyastro,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f177fbe4b020b2f88a8e51.html
122,MEENA KHAN,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16a8fe4b020b2f88a875d.html
123,C4Cred,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17551e4b020b2f88a8d52.html
124,J K C Enterprises,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17550e4b020b2f88a8d4f.html
125,PROJECT X,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17542e4b020b2f88a8d43.html
126,Golden Diamond Entertainments ,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15dc1e4b020b2f88a7fd9.html
127,Ionage Technologies,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15c5ae4b020b2f88a7ed9.html
128,Videoline Surveillance Services Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15b68e4b020b2f88a7e30.html
129,HIND WALE,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f155e1e4b020b2f88a7a4f.html
130,CHEMEX GLOBAL,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15569e4b020b2f88a79de.html
131,Venkatesh Babu D,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1538be4b020b2f88a78de.html
132,HOPEHELPINGINEVERYSTEP PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15294e4b020b2f88a7839.html
133,SHREE GAJAJNAND ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15063e4b020b2f88a76e1.html
134,Trivarga Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15040e4b020b2f88a76c9.html
135,Stir Et Up,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14f20e4b020b2f88a763f.html
136,Memories,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5d9acf2de4b05eaf4e0d94a6.html
137,GEMOCRACY JEWELS OPC PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14b32e4b020b2f88a742b.html
138,Desi Earth Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f148fee4b020b2f88a72fe.html
139,7 Eagles,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f145d8e4b020b2f88a715b.html
140,BESTWAY TRADING COMPANY,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1447ce4b020b2f88a707c.html
141,SkillUp Education Services Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f141b4e4b020b2f88a6e99.html
142,MESTHIRII VKS PVT LTD,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14106e4b020b2f88a6e33.html
143,Socio-Money ,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14047e4b020b2f88a6dc7.html
144,Golden Diamond Entertainments ,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15dc1e4b020b2f88a7fd9.html
145,Ionage Technologies,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15c5ae4b020b2f88a7ed9.html
146,Videoline Surveillance Services Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15b68e4b020b2f88a7e30.html
147,HIND WALE,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f155e1e4b020b2f88a7a4f.html
148,CHEMEX GLOBAL,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15569e4b020b2f88a79de.html
149,Venkatesh Babu D,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1538be4b020b2f88a78de.html
150,HOPEHELPINGINEVERYSTEP PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15294e4b020b2f88a7839.html
151,SHREE GAJAJNAND ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15063e4b020b2f88a76e1.html
152,Trivarga Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15040e4b020b2f88a76c9.html
153,Sudarshan Kumar Raut,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1b368e4b020b2f88aa617.html
154,OffSpace Inc,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1902ae4b020b2f88a9add.html
155,Fishtank,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f18f5be4b020b2f88a9a59.html
156,GREEN GLOBE INTERNATIONAL,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1858ae4b020b2f88a95d4.html
157,A K Dianthus,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f18486e4b020b2f88a9547.html
158,RSN LEISURE TECHNO LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f181ffe4b020b2f88a93df.html
159,WEDOCLEVERONE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f181eee4b020b2f88a93d4.html
160,Ravi Ranjan Chaubey,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5d821b93e4b0fad8ed6d260d.html
161,CARTOS INDIA,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1801ee4b020b2f88a928c.html
162,HD LABS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f179e7e4b020b2f88a8f2a.html
163,Bhumika Rathore,https://www.startupindia.gov.in/content/sih/en/profile.Startup.60636cade4b03f92cbd17ef4.html
164,Naukridhanda,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1796be4b020b2f88a8eeb.html
165,Manjeet Bargoti,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5b026d10e4b0a9285b5b096e.html
166,Callmyastro,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f177fbe4b020b2f88a8e51.html
167,MEENA KHAN,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16a8fe4b020b2f88a875d.html
168,C4Cred,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17551e4b020b2f88a8d52.html
169,J K C Enterprises,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17550e4b020b2f88a8d4f.html
170,PROJECT X,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17542e4b020b2f88a8d43.html
171,NV Media,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16d53e4b020b2f88a892a.html
172,Sarglobal,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16ca9e4b020b2f88a88b5.html
173,Bloomlync Technology Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16c64e4b020b2f88a8873.html
174,Ayush Entrprises,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f169c0e4b020b2f88a86ce.html
175,ETHOS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f167f1e4b020b2f88a85ad.html
176,SpatioWorld Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16143e4b020b2f88a81be.html
177,Campus Share,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16020e4b020b2f88a8120.html
178,Unive Media Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15f2ee4b020b2f88a8072.html
179,SYNCURE PHARMACEUTICALS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15f17e4b020b2f88a8060.html
180,Shield Currency,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17476e4b020b2f88a8cfb.html
181,Ecusbe India 3R Waste Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1730de4b020b2f88a8c3b.html
182,SUNSHINE ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f172b5e4b020b2f88a8c0c.html
183,YELLOW SPHERE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17214e4b020b2f88a8bc9.html
184,POLLUXENERGYSOLUTIONS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17146e4b020b2f88a8b5d.html
185,Sephora Info Solutions Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17142e4b020b2f88a8b59.html
186,Sarja Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17107e4b020b2f88a8b47.html
187,AFFLUX SYSTEMS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17007e4b020b2f88a8aeb.html
188,eMoboMo Soft Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16eefe4b020b2f88a8a4c.html
189,Sudarshan Kumar Raut,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1b368e4b020b2f88aa617.html
190,OffSpace Inc,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1902ae4b020b2f88a9add.html
191,Fishtank,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f18f5be4b020b2f88a9a59.html
192,GREEN GLOBE INTERNATIONAL,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1858ae4b020b2f88a95d4.html
193,A K Dianthus,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f18486e4b020b2f88a9547.html
194,RSN LEISURE TECHNO LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f181ffe4b020b2f88a93df.html
195,WEDOCLEVERONE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f181eee4b020b2f88a93d4.html
196,Ravi Ranjan Chaubey,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5d821b93e4b0fad8ed6d260d.html
197,CARTOS INDIA,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1801ee4b020b2f88a928c.html
198,HD LABS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f179e7e4b020b2f88a8f2a.html
199,Bhumika Rathore,https://www.startupindia.gov.in/content/sih/en/profile.Startup.60636cade4b03f92cbd17ef4.html
200,Naukridhanda,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1796be4b020b2f88a8eeb.html
201,Manjeet Bargoti,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5b026d10e4b0a9285b5b096e.html
202,Callmyastro,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f177fbe4b020b2f88a8e51.html
203,MEENA KHAN,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16a8fe4b020b2f88a875d.html
204,C4Cred,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17551e4b020b2f88a8d52.html
205,J K C Enterprises,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17550e4b020b2f88a8d4f.html
206,PROJECT X,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17542e4b020b2f88a8d43.html
207,NV Media,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16d53e4b020b2f88a892a.html
208,Sarglobal,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16ca9e4b020b2f88a88b5.html
209,Bloomlync Technology Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16c64e4b020b2f88a8873.html
210,Ayush Entrprises,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f169c0e4b020b2f88a86ce.html
211,ETHOS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f167f1e4b020b2f88a85ad.html
212,SpatioWorld Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16143e4b020b2f88a81be.html
213,Campus Share,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16020e4b020b2f88a8120.html
214,Unive Media Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15f2ee4b020b2f88a8072.html
215,SYNCURE PHARMACEUTICALS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15f17e4b020b2f88a8060.html
216,Shield Currency,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17476e4b020b2f88a8cfb.html
217,Ecusbe India 3R Waste Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1730de4b020b2f88a8c3b.html
218,SUNSHINE ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f172b5e4b020b2f88a8c0c.html
219,YELLOW SPHERE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17214e4b020b2f88a8bc9.html
220,POLLUXENERGYSOLUTIONS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17146e4b020b2f88a8b5d.html
221,Sephora Info Solutions Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17142e4b020b2f88a8b59.html
222,Sarja Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17107e4b020b2f88a8b47.html
